baseline,metric,n,mean_advantage,median_advantage,win_rate,wilcoxon_greater_p,bootstrap_ci95_low,bootstrap_ci95_high,holm_p_all_tests,holm_significant_0p05
risk_mara_ad_guard_rate,risk_brier,680,0.0128310076872642,0.0122825241460658,0.8323529411764706,1.828856808497212e-75,0.0116796076824864,0.0139769913530109,1.1887569255231878e-73,True
risk_mara_ad_guard_rate,selective_risk_at_80,680,0.008779244920674,0.0084926072845294,0.6867647058823529,8.591619518133681e-42,0.0076518913568215,0.0098488309709847,3.4366478072534725e-40,True
risk_mara_ad_guard_rate,risk_nll,680,0.0742686506962432,0.0516074171892017,0.8823529411764706,3.54248415986475e-87,0.0675625542290113,0.081140108668177,2.7631376446945053e-85,True
risk_mara_dual_blend_rate,risk_coverage_auc,680,0.0059813623253149,0.0042729987868751,0.7382352941176471,5.080327178827713e-44,0.0052237369650853,0.0067928968015902,2.1845406868959166e-42,True
risk_mara_dual_blend_rate,risk_ece_10bin,680,0.0155299289484304,0.0114764757354136,0.6617647058823529,8.112285707888347e-29,0.0131257869663628,0.0179669691729048,2.595931426524271e-27,True
risk_mara_dual_blend_rate,selective_risk_at_90,680,0.0018836674942289,0.000558659217877,0.5073529411764706,1.873571861695295e-07,0.001189756343325,0.0025765058830608,2.0609290478648245e-06,True
risk_mara_dual_blend_rate,failure_auroc,680,0.015872159099634,0.0128621801640094,0.75,7.682987514683499e-46,0.0138266799051604,0.01788282077075,3.5341742567544097e-44,True
risk_mara_dual_blend_rate,failure_auprc,680,0.0164173687053171,0.0180287100681245,0.6691176470588235,3.8294561104302815e-27,0.0133359160685809,0.0193053612066066,1.1488368331290845e-25,True
risk_mara_dual_blend_rate,risk_brier,680,0.0035449244275343,0.0028944313108052,0.6838235294117647,3.76709835496188e-30,0.0029120458271716,0.0041910944221973,1.2808134406870391e-28,True
risk_mara_dual_blend_rate,selective_risk_at_80,680,0.0029988639404398,0.002016129032258,0.5470588235294118,7.588851501746643e-12,0.0021062423065524,0.0038325098023405,1.2901047552969294e-10,True
risk_mara_dual_blend_rate,risk_nll,680,0.0179235272956073,0.0098073897627533,0.7102941176470589,1.5763351990796266e-44,0.0152597417042215,0.0210057946976153,6.935874875950357e-43,True
risk_mara_dual_guard_rate,risk_coverage_auc,680,0.0066470821498496,0.0050347880361526,0.7911764705882353,1.1750207787302712e-51,0.0058690472149539,0.0074578800191889,5.957297645102901e-50,True
